ID,Plateforme,Type,Auteur,Date,Annee_estimee,Commentaire,Langue,Sentiment,Sujet,Suggestion
22,Google Maps,Client,nadia FARES,il y a 3 ans,2023.0,Service nul peu de personnel pour service  les clients,Francais,Negatif,Personnel,Renforcer la formation des agents en relation client et ameliorer la qualite de l'accueil.
23,Google Maps,Client,Anas Zahim,il y a un an,,Employés absents. Rien n'avance.,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
24,Google Maps,Client,هدهد,il y a 6 ans,2020.0,لي مسؤول على الهاتف الله لا يوفقه,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
25,Google Maps,Client,SOUHAIL JAMAOUI,il y a 3 ans,2023.0,لا يحترمون المساطر الإدارية,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
26,Google Maps,Client,Mohamed BENKHIRAT,il y a 11 mois,2026.0,service nul,ro,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
27,Google Maps,Client,Hamid Kissaoui,Modifié il y a 8 ans,2018.0,مؤسسة وطنية عريقة,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
28,Google Maps,Client,zaid sedrati,il y a 2 ans,2024.0,Mauvais service,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
29,Google Maps,Client,Mohamed Lamrani Alaoui,il y a 9 ans,2017.0,Temps d'attente ...,Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
30,Google Maps,Client,Redwane El'alami,il y a 6 ans,2020.0,شكراً بريد المغرب,Arabe,Positif,Livraison,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
31,Google Maps,Client,zhor alami,il y a 2 mois,2026.0,"le pire service possible
2heures d'attente personnel d'une lenteur abominable c'est fait exprès je pense de faire attendre les gens.",Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
32,Google Maps,Client,Ritae El otmani,il y a un an,,"Le pire service que j'aie jamais vu. La femme a été d'une impolitesse incroyable, alors que je venais simplement poser quelques questions. Aucun professionnalisme, un vrai chaos. On leur explique que la personne concernée est malade, on …",Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
33,Google Maps,Client,Nr El,il y a 2 ans,2024.0,"J'attends ma lettre depuis 35 jours et elle n'est toujours pas arrivée. C'est anormal que ce soit aussi long ! Je ne recommanderais ce service à personne, surtout pour l'envoi de documents importants. Il vaut mieux payer un peu plus cher et envoyer ce que l'on veut par DHL ; c'est plus sûr et plus rapide.",Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
34,Google Maps,Client,Voyages tam,il y a 2 ans,2024.0,Service déplorable ! J’ai dû attendre au moins 1 h 30 pour payer ! Un seul employé s’occupe de plus de 30 personnes et le directeur se fiche complètement des réclamations des clients… N’y allez surtout pas !,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
35,Google Maps,Client,George Wood,il y a 3 ans,2023.0,Ils ont été très serviables. Ils m'ont vendu des timbres pour cartes postales. Ils ont même eu la gentillesse d'imprimer gratuitement la carte d'embarquement Ryanair de mon ami !,Francais,Positif,Autre,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
36,Google Maps,Client,Rida Harnafi,il y a 3 ans,2023.0,"Service déplorable, plus d'une heure et demie d'attente. Un seul employé était présent. …",Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
37,Google Maps,Client,Will,il y a 7 ans,2019.0,L'adresse est inexacte. L'établissement se trouve au fond du bâtiment brun foncé.,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
38,Google Maps,Client,SALAH EL AYADI,il y a 7 ans,2019.0,مؤسسة وطنية عريقة,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
39,Trustpilot,Client,M. Salah,23 avr. 2026,,"les services postaux, incluant le site web sont encore à l'age de pierre, le courrier recommandé ou avec suivi prends plus d'un mois, l' un était déclaré perdu et puis arrivé à destination. vont il vraiment organisé la coupe du monde???",Francais,Negatif,Livraison,Ameliorer le suivi des colis et informer les clients en cas de retard.
40,Trustpilot,Client,Mustapha Afif,8 avr. 2026,,Service zero la mn personel la mn tejhizat,Italien,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
41,Trustpilot,Client,Myriam,2 sept. 2025,,"J'ai envoyé un courrier contenant un document très important à ma mère le 07 aout 2025 depuis la France et à ce jour il n'est jamais arrivé à Oujda.
J'ai fait confiance et n'ai pas fait de suivi.
Ce n'est pas la première fois que cela arrive . Je comprends maintenant pourquoi ce pays n'avance pas s'il ne peut pas assurer l'acheminement d'un simple courrier ....",Francais,Negatif,Livraison,Ameliorer le suivi des colis et informer les clients en cas de retard.
42,Trustpilot,Client,Iyol Marie,25 juil. 2025,,"La poste du Maroc service tellement nul. Aucun suivi des colis. J’ai un colis qui est arrivé chez eux et je n’ai jamais été notifié de quoi que ce soit. Et lorsque je m’y rends l’agent se permet de me dire que le colis a été renvoyé à au vendeur parceque je n’ai pas voulu le réceptionner. Or qu’il ne m’ont jamais appelé, aucun numéro ne passe ni leur fichus réclamation. Franchement c’est une grosse foutaise surtout pour un pays comme le Maroc.",Francais,Negatif,Personnel,Renforcer la formation des agents en relation client et ameliorer la qualite de l'accueil.
43,Trustpilot,Client,benjo mvp,18 avr. 2025,,website wird von scammern benutzt um angeblich eine tracking nummer zu schicken. ihr bekommt keine und die werden eine ausrede dafür finden. sofort käuferschutz anschreiben.,Allemand,Negatif,Livraison,Ameliorer le suivi des colis et informer les clients en cas de retard.
44,Indeed,Employe,Responsable commercial a la région de Casablanca,12 novembre 2024,,Une expérience enrichissante,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
45,Indeed,Employe,Chef d'agence,27 août 2024,,Vous devez être assidu et prendre des risques pour acquérir des connaissances au sein de cette organisation,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
46,Indeed,Employe,Agent commercial,4 janvier 2024,,Un environnement de travail motivant,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
47,Indeed,Employe,facteur - la poste,6 janvier 2023,,Productive and a no Bored job,Anglais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
48,Indeed,Employe,Facteur ex postal driver,26 novembre 2022,,Plein de congestion.,Francais,Negatif,Autre,Analyser les retours des employes afin d'ameliorer les conditions de travail.
49,Indeed,Employe,gestionnaire administratif,2 janvier 2020,,"Le travail au présent, l'espoir à l'avenir",Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
50,Indeed,Employe,Cuisinier responsable,12 octobre 2019,,Travail  avec  un personnel postier  agréable,Francais,Positif,Personnel,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
51,Indeed,Employe,App designer,6 août 2019,,it's  quite good,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
52,Indeed,Employe,Gestion de la qualité,12 décembre 2018,,Environnement de travail très agréable,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
54,Indeed,Employe,Stagiaire,1 septembre 2018,,Endroit idéal pour les stages,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
55,Indeed,Employe,Assistante sociale stagiaire,3 août 2018,,Un bon environnement de travail,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
56,Indeed,Employe,Employé polyvalent,7 juin 2018,,Conditions générales acceptable,Francais,Neutre,Autre,Analyser davantage ce retour afin d'identifier des pistes d'amelioration.
57,Indeed,Employe,CONTRÔLEUR PERMANENT,17 avril 2018,,très importante expérience,Francais,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
58,Indeed,Employe,commis au courrier et services postaux,8 décembre 2017,,travail polyvalent et sens de défis,Francais,Neutre,Autre,Analyser davantage ce retour afin d'identifier des pistes d'amelioration.
59,Indeed,Employe,Stage,18 septembre 2015,,avis favorable,no,Positif,Autre,Maintenir un environnement de travail favorable et valoriser les bonnes pratiques.
60,Indeed,Employe,stage,19 août 2014,,collègue de travail agreable,Francais,Negatif,Autre,Analyser les retours des employes afin d'ameliorer les conditions de travail.
61,Indeed,Employe,chauffeur conducteur,9 mars 2013,,cherche d'un travaille au n'importe,Francais,Neutre,Autre,Analyser davantage ce retour afin d'identifier des pistes d'amelioration.
